time="2022-11-18T18:37:46+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:37:46+05:30" level=info msg="==============================================================="
time="2022-11-18T18:37:46+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:37:46+05:30" level=info msg="summary directory created."
time="2022-11-18T18:37:46+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=180 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=40 rpm=2400 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.493156989s seq=201 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.493562069s seq=202 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.487501012s seq=203 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.48442803s seq=204 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.495450406s seq=205 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.490120449s seq=206 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.495825337s seq=207 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.485746103s seq=208 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.488726686s seq=209 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.500297471s seq=210 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.488705292s seq=211 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.495132858s seq=212 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.490461103s seq=213 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.492168194s seq=214 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.497134781s seq=215 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.493127507s seq=216 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.49733071s seq=217 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.493626148s seq=218 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.49662385s seq=219 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.497525625s seq=220 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.495827043s seq=221 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.502594025s seq=222 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.487140616s seq=223 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.494227954s seq=224 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.489790755s seq=225 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.519177485s seq=226 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.49741214s seq=227 status_code=504
time="2022-11-18T18:38:02+05:30" level=error msg="504 Gateway Time-out" latency=10.493408732s seq=228 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.485555394s seq=229 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.487378507s seq=230 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.502848308s seq=231 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.492273037s seq=232 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.491543501s seq=233 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.49937883s seq=234 status_code=504
